index,split
4537,train
2501,train
7390,train
3956,train
541,train
8063,train
6991,train
9781,train
7851,train
2994,train
10404,train
1589,train
10015,train
8833,train
10690,train
6879,train
637,train
2446,train
7564,train
8947,train
3641,train
4930,train
1471,train
10018,train
7907,train
8095,train
7908,train
1276,train
7395,train
8580,train
3988,train
1692,train
781,train
4022,train
2001,train
9203,train
7382,train
2733,train
7680,train
2507,train
4307,train
3963,train
8806,train
1651,train
5127,train
1442,train
1012,train
5901,train
9128,train
5621,train
3359,train
7849,train
2189,train
2180,train
9150,train
4963,train
5813,train
5826,train
4247,train
5588,train
7215,train
9808,train
9064,train
6273,train
6959,train
4719,train
6670,train
4079,train
5792,train
3604,train
9832,train
9111,train
5963,train
7304,train
251,train
10182,train
5052,train
8512,train
696,train
1835,train
3114,train
1521,train
4329,train
8316,train
4657,train
6059,train
3301,train
7478,train
9081,train
866,train
3907,train
10871,train
7101,train
2048,train
3335,train
3957,train
8369,train
7859,train
2305,train
10332,train
2704,train
3243,train
7782,train
5168,train
318,train
2050,train
7457,train
6131,train
3221,train
8010,train
1968,train
307,train
5711,train
11052,train
3869,train
10796,train
4862,train
5440,train
4941,train
10677,train
238,train
6110,train
6790,train
7618,train
2108,train
9873,train
5159,train
10740,train
2557,train
8131,train
7479,train
6377,train
10556,train
9307,train
248,train
2647,train
11423,train
5953,train
2821,train
6099,train
5259,train
5747,train
10720,train
9799,train
7609,train
1661,train
11154,train
8923,train
2015,train
11336,train
732,train
4905,train
11347,train
1967,train
3283,train
4927,train
2910,train
4354,train
1772,train
9776,train
5432,train
8881,train
8669,train
2927,train
8700,train
6287,train
4121,train
7227,train
11304,train
4937,train
4115,train
6627,train
991,train
6197,train
4413,train
865,train
5100,train
8259,train
7363,train
10533,train
3216,train
4529,train
6889,train
6500,train
10029,train
3297,train
9857,train
7444,train
5545,train
5077,train
1086,train
10613,train
5665,train
3713,train
5275,train
4932,train
11073,train
10479,train
2954,train
8664,train
7925,train
1379,train
3460,train
7428,train
9540,train
9855,train
7364,train
9665,train
7522,train
10894,train
9356,train
7802,train
2537,train
4655,train
170,train
5463,train
2972,train
3506,train
6535,train
8047,train
10909,train
3238,train
3353,train
8938,train
2389,train
3167,train
5014,train
8294,train
5825,train
11282,train
409,train
4940,train
3391,train
3677,train
10045,train
1462,train
1624,train
6992,train
6688,train
3533,train
1199,train
4633,train
2302,train
3715,train
6416,train
686,train
1732,train
4234,train
2122,train
8816,train
8665,train
4221,train
5663,train
7760,train
1818,train
10506,train
10145,train
2376,train
6771,train
2041,train
2960,train
6145,train
2678,train
6565,train
7286,train
5786,train
9608,train
10794,train
3239,train
4776,train
803,train
7467,train
6724,train
4252,train
9060,train
2475,train
6528,train
3240,train
4286,train
2127,train
11144,train
2750,train
2688,train
5589,train
10449,train
4672,train
11237,train
5375,train
7843,train
4392,train
3132,train
9975,train
1572,train
11049,train
8021,train
4049,train
9176,train
3471,train
1126,train
9164,train
10668,train
9313,train
9174,train
1625,train
1861,train
6592,train
2884,train
427,train
8015,train
1569,train
3834,train
8185,train
9032,train
3072,train
5978,train
3852,train
368,train
6125,train
6226,train
7322,train
1342,train
3449,train
3523,train
10552,train
9437,train
5548,train
7531,train
10955,train
5486,train
1501,train
9397,train
10628,train
9922,train
400,train
10087,train
3414,train
1871,train
4584,train
2883,train
1258,train
871,train
10106,train
3820,train
260,train
4956,train
137,train
1558,train
6137,train
6617,train
1804,train
3544,train
9996,train
7122,train
9634,train
2687,train
7847,train
5102,train
2532,train
6255,train
5,train
8503,train
3376,train
8817,train
3331,train
3628,train
1694,train
4198,train
9207,train
2605,train
10989,train
7460,train
7228,train
10752,train
2660,train
2154,train
8104,train
8461,train
4197,train
5152,train
3467,train
3435,train
2623,train
2438,train
5504,train
4061,train
1113,train
123,train
5684,train
8335,train
1475,train
507,train
4404,train
5837,train
3401,train
3389,train
9876,train
6669,train
7038,train
2338,train
44,train
1594,train
1305,train
8393,train
7746,train
811,train
2173,train
2116,train
1188,train
8027,train
1504,train
6061,train
5032,train
1744,train
7985,train
10735,train
4742,train
3446,train
10652,train
7464,train
10367,train
5808,train
3917,train
9583,train
3367,train
6385,train
6624,train
3782,train
4064,train
3595,train
4012,train
2956,train
3794,train
4522,train
7807,train
8987,train
7699,train
8215,train
4026,train
9674,train
3406,train
1039,train
933,train
6974,train
8357,train
3920,train
5753,train
10287,train
5035,train
2917,train
8109,train
68,train
1190,train
6831,train
8012,train
6462,train
6981,train
8639,train
7083,train
1046,train
10374,train
5512,train
10755,train
4888,train
8505,train
3666,train
926,train
8679,train
656,train
6236,train
10006,train
7899,train
10651,train
4777,train
8872,train
4961,train
8582,train
7945,train
5515,train
10518,train
7113,train
6465,train
3865,train
2484,train
8531,train
8795,train
1970,train
5733,train
4436,train
8928,train
8620,train
221,train
2809,train
8990,train
10099,train
7339,train
11034,train
3548,train
6000,train
10862,train
6101,train
7781,train
2866,train
10579,train
9997,train
4336,train
967,train
6301,train
690,train
1652,train
3766,train
6147,train
2709,train
9107,train
2781,train
8112,train
859,train
7399,train
5425,train
9274,train
2863,train
2804,train
2984,train
9642,train
5467,train
3422,train
5175,train
7577,train
5688,train
1366,train
3862,train
3777,train
10395,train
7342,train
11308,train
5383,train
5526,train
940,train
10731,train
10719,train
612,train
6729,train
10527,train
4149,train
6850,train
2699,train
6508,train
11068,train
8631,train
9495,train
9019,train
6200,train
8205,train
8627,train
6246,train
2740,train
9264,train
1191,train
157,train
7416,train
3521,train
6820,train
7241,train
6044,train
3211,train
99,train
1117,train
5686,train
171,train
7839,train
3631,train
6150,train
5728,train
5330,train
4822,train
3473,train
7019,train
3089,train
1722,train
9286,train
1810,train
1990,train
3253,train
9677,train
32,train
6834,train
1831,train
5858,train
6524,train
4376,train
4858,train
10484,train
4045,train
279,train
613,train
3652,train
2932,train
1265,train
6641,train
554,train
6882,train
10157,train
6822,train
607,train
1237,train
8310,train
5057,train
4249,train
3007,train
8119,train
718,train
9480,train
9784,train
2519,train
3111,train
8777,train
6642,train
4829,train
599,train
10360,train
836,train
4860,train
7008,train
4800,train
5584,train
6003,train
5703,train
4969,train
3672,train
11341,train
7135,train
9617,train
1110,train
3218,train
8399,train
9368,train
8283,train
8126,train
10587,train
8846,train
2247,train
9573,train
185,train
8338,train
2055,train
6775,train
1779,train
10549,train
11115,train
5980,train
2441,train
5428,train
6523,train
2546,train
6898,train
11146,train
6596,train
4486,train
10401,train
2854,train
9891,train
7827,train
4678,train
3133,train
3319,train
3779,train
3810,train
9788,train
3784,train
8770,train
2085,train
11145,train
498,train
10936,train
11262,train
6010,train
11003,train
1776,train
2903,train
7264,train
7749,train
7434,train
6372,train
7379,train
633,train
2751,train
5905,train
1271,train
10412,train
2092,train
2921,train
9660,train
2824,train
8605,train
2928,train
7932,train
8320,train
7723,train
3998,train
4612,train
1328,train
7477,train
4405,train
4097,train
7701,train
10329,train
1278,train
8217,train
748,train
10309,train
11247,train
4996,train
7521,train
5064,train
2058,train
7806,train
9147,train
7566,train
10612,train
5267,train
2030,train
10887,train
3447,train
70,train
8234,train
3599,train
7451,train
7146,train
5985,train
2232,train
7236,train
8405,train
2236,train
555,train
10245,train
10834,train
5156,train
7599,train
6470,train
10766,train
8632,train
9908,train
11039,train
212,train
3120,train
7702,train
1517,train
5180,train
2908,train
9422,train
1700,train
1927,train
2118,train
11364,train
7698,train
10197,train
10483,train
568,train
10957,train
6723,train
8768,train
1885,train
4276,train
8658,train
4451,train
9491,train
10212,train
1440,train
6520,train
1315,train
8129,train
5831,train
4383,train
2262,train
4166,train
6998,train
4646,train
4850,train
9604,train
2833,train
5998,train
3334,train
663,train
46,train
3303,train
3483,train
2837,train
3529,train
6628,train
1915,train
5209,train
2515,train
98,train
7341,train
9900,train
7367,train
1281,train
292,train
677,train
7704,train
11014,train
348,train
5409,train
6458,train
7629,train
2911,train
4366,train
3915,train
9472,train
4116,train
5718,train
4597,train
9940,train
650,train
2560,train
11009,train
8539,train
5290,train
463,train
5232,train
178,train
5942,train
6429,train
7685,train
3823,train
4109,train
6081,train
7267,train
2164,train
7470,train
11362,train
2951,train
1667,train
3176,train
7335,train
3130,train
90,train
2359,train
10499,train
8417,train
7486,train
4943,train
3896,train
4178,train
8532,train
3085,train
1007,train
9905,train
11026,train
2890,train
2161,train
10489,train
7997,train
7919,train
7123,train
10833,train
3256,train
7854,train
5951,train
736,train
3158,train
9948,train
10030,train
720,train
5602,train
681,train
4729,train
8231,train
8640,train
893,train
9143,train
7220,train
4512,train
526,train
5307,train
6943,train
8301,train
8135,train
4725,train
8247,train
2635,train
10922,train
5311,train
11121,train
6799,train
9924,train
6340,train
8424,train
1062,train
9003,train
458,train
1525,train
10759,train
10191,train
7077,train
6717,train
6438,train
1577,train
7007,train
4189,train
4372,train
494,train
11354,train
6142,train
4122,train
4913,train
2331,train
8707,train
6426,train
5025,train
7643,train
6883,train
2759,train
1643,train
5732,train
8181,train
5996,train
4982,train
9888,train
2401,train
8710,train
4960,train
6424,train
3532,train
172,train
7668,train
8602,train
8088,train
2754,train
2150,train
8581,train
7152,train
1741,train
9904,train
8232,train
904,train
5502,train
11419,train
11079,train
9614,train
6171,train
4650,train
9293,train
353,train
1119,train
3063,train
5054,train
4802,train
11117,train
6118,train
2749,train
1428,train
10991,train
9185,train
4536,train
5092,train
10096,train
7318,train
1312,train
5285,train
8373,train
9911,train
4291,train
10346,train
10598,train
832,train
7484,train
6220,train
2646,train
2980,train
3520,train
1331,train
2633,train
9149,train
9017,train
8484,train
6231,train
5612,train
4778,train
6140,train
3417,train
7032,train
1858,train
10180,train
6387,train
268,train
700,train
9607,train
5911,train
6129,train
564,train
9339,train
4435,train
767,train
10963,train
616,train
5104,train
2461,train
756,train
9161,train
7755,train
7253,train
11196,train
8146,train
5038,train
2039,train
10775,train
2672,train
2053,train
8864,train
6832,train
9736,train
3586,train
9453,train
9508,train
8064,train
1145,train
1185,train
4610,train
6441,train
2365,train
5536,train
161,train
2584,train
1322,train
10079,train
6746,train
3774,train
8257,train
209,train
10925,train
2583,train
2320,train
2473,train
8349,train
6862,train
4508,train
1955,train
3258,train
5116,train
970,train
561,train
4478,train
1435,train
8171,train
4033,train
10201,train
4921,train
5476,train
4337,train
10121,train
11348,train
6251,train
4375,train
4717,train
3615,train
6069,train
9785,train
10966,train
9757,train
10384,train
1364,train
6091,train
1977,train
5207,train
8704,train
3629,train
10974,train
2482,train
8745,train
3200,train
1479,train
1010,train
2291,train
11222,train
7819,train
2193,train
9136,train
6221,train
9689,train
1378,train
1302,train
24,train
2643,train
7064,train
10020,train
3152,train
4003,train
10905,train
3591,train
10318,train
2929,train
3671,train
1382,train
10841,train
3901,train
345,train
9126,train
6319,train
4477,train
10399,train
3508,train
3149,train
3141,train
6890,train
5739,train
9178,train
3854,train
2383,train
4053,train
772,train
7904,train
1251,train
6203,train
1635,train
3531,train
8766,train
9699,train
5331,train
9460,train
195,train
9596,train
2969,train
7199,train
1124,train
6630,train
1018,train
3148,train
9866,train
10373,train
8894,train
900,train
4499,train
5865,train
11296,train
11371,train
2925,train
7074,train
5026,train
1564,train
9451,train
2900,train
10758,train
3773,train
6530,train
9396,train
9376,train
7608,train
6921,train
6694,train
7711,train
9433,train
697,train
7871,train
7089,train
6718,train
2736,train
8573,train
8046,train
1605,train
9444,train
8228,train
10019,train
8801,train
10084,train
10133,train
6963,train
4194,train
2416,train
6239,train
1380,train
6965,train
5609,train
5082,train
10190,train
8111,train
2093,train
5721,train
8091,train
4587,train
6370,train
3126,train
703,train
10993,train
3137,train
9105,train
10872,train
1349,train
1536,train
9095,train
9344,train
9910,train
4783,train
7774,train
73,train
5472,train
11109,train
2364,train
841,train
5979,train
962,train
7177,train
7268,train
3701,train
862,train
1689,train
4123,train
1395,train
9326,train
2005,train
1243,train
8481,train
5349,train
2528,train
6353,train
2807,train
1775,train
10968,train
6193,train
2095,train
4806,train
3927,train
7385,train
2200,train
7504,train
10012,train
9120,train
5305,train
2898,train
4986,train
6588,train
7154,train
5042,train
8799,train
8381,train
8254,train
7063,train
10764,train
7405,train
7380,train
5218,train
107,train
4225,train
5066,train
4596,train
7857,train
91,train
403,train
9218,train
5083,train
10142,train
1024,train
9921,train
9548,train
10804,train
7489,train
512,train
7307,train
3846,train
1590,train
2796,train
8080,train
6359,train
2851,train
9127,train
3837,train
1935,train
2768,train
5605,train
7710,train
10818,train
6580,train
9751,train
8433,train
7988,train
5794,train
4555,train
5241,train
3603,train
11300,train
6469,train
6587,train
3787,train
4590,train
6484,train
5121,train
3459,train
7137,train
1222,train
676,train
10741,train
3043,train
7690,train
7656,train
4985,train
5735,train
922,train
2351,train
11339,train
3552,train
9632,train
3830,train
1570,train
8957,train
4955,train
4449,train
10986,train
2397,train
7140,train
5649,train
6328,train
5385,train
7034,train
5055,train
9894,train
1060,train
10234,train
4984,train
5833,train
11037,train
10342,train
1933,train
11415,train
4282,train
9232,train
1716,train
5636,train
5556,train
3313,train
4579,train
8586,train
7742,train
4369,train
5601,train
1326,train
4520,train
6334,train
7439,train
7928,train
1973,train
5750,train
8024,train
4629,train
7334,train
4854,train
10596,train
6586,train
7081,train
4543,train
8098,train
8932,train
4701,train
2160,train
10466,train
2125,train
6783,train
4711,train
5301,train
5836,train
6764,train
1528,train
3945,train
4825,train
9239,train
710,train
8963,train
5824,train
6973,train
594,train
6457,train
3719,train
4167,train
200,train
7214,train
968,train
818,train
2280,train
11048,train
4174,train
5574,train
9860,train
10116,train
1902,train
2650,train
1742,train
7185,train
9214,train
2156,train
10440,train
1533,train
6575,train
9549,train
5296,train
1839,train
182,train
1866,train
3799,train
4548,train
1731,train
8830,train
10098,train
8002,train
8253,train
10585,train
3196,train
10632,train
1256,train
4938,train
10104,train
7610,train
6635,train
4039,train
8226,train
1892,train
10174,train
20,train
280,train
8122,train
8692,train
10943,train
3215,train
9359,train
8431,train
7117,train
1702,train
6381,train
2293,train
4374,train
496,train
2644,train
7751,train
6563,train
8407,train
10717,train
3306,train
3143,train
2399,train
3465,train
6037,train
6871,train
10274,train
1717,train
4132,train
10481,train
2250,train
9319,train
10464,train
6703,train
6815,train
3109,train
7867,train
1916,train
3536,train
6035,train
7948,train
9740,train
2943,train
3623,train
1999,train
2656,train
7191,train
8857,train
7147,train
8662,train
6482,train
8606,train
2114,train
67,train
934,train
4086,train
2791,train
1400,train
2628,train
3405,train
9684,train
9315,train
10814,train
448,train
9774,train
8558,train
9915,train
2357,train
8163,train
8949,train
10195,train
1320,train
82,train
538,train
6156,train
1959,train
7502,train
2064,train
2653,train
4820,train
5328,train
5359,train
10254,train
4190,train
2004,train
1134,train
2170,train
8049,train
10407,train
7538,train
4415,train
4370,train
11403,train
6874,train
8168,train
4670,train
4722,train
8727,train
5413,train
6956,train
3191,train
6645,train
3737,train
10129,train
5364,train
8134,train
8905,train
4202,train
8116,train
4964,train
2373,train
10323,train
5667,train
180,train
5002,train
1040,train
4409,train
5273,train
3541,train
8347,train
7607,train
579,train
11099,train
2442,train
10839,train
7993,train
10520,train
9333,train
8832,train
9709,train
8334,train
5058,train
5187,train
546,train
6382,train
1002,train
2205,train
7045,train
3732,train
110,train
45,train
10699,train
10605,train
10727,train
11269,train
9679,train
2434,train
1783,train
8453,train
3738,train
8809,train
7366,train
190,train
1925,train
7265,train
655,train
6414,train
11020,train
4188,train
785,train
3315,train
2909,train
4637,train
1583,train
5283,train
259,train
8016,train
8008,train
2631,train
7544,train
4488,train
8887,train
5805,train
8626,train
2539,train
4014,train
5336,train
8902,train
10085,train
3052,train
10228,train
351,train
8880,train
863,train
6582,train
11255,train
2036,train
4019,train
2562,train
9680,train
9706,train
10545,train
533,train
7078,train
3808,train
2950,train
2251,train
131,train
393,train
9714,train
1375,train
6190,train
4484,train
9317,train
3420,train
7603,train
3011,train
5585,train
1318,train
771,train
1013,train
8082,train
779,train
1500,train
6902,train
624,train
8623,train
1506,train
9487,train
10115,train
6304,train
8167,train
3430,train
4595,train
7862,train
2466,train
9255,train
8001,train
3210,train
11270,train
1252,train
5112,train
10303,train
5006,train
5642,train
10828,train
9947,train
5841,train
2120,train
366,train
10165,train
1248,train
8103,train
7946,train
8540,train
1474,train
6805,train
3305,train
9405,train
3059,train
7722,train
4704,train
7030,train
158,train
2199,train
10874,train
4052,train
4565,train
434,train
8733,train
1401,train
7120,train
9374,train
9035,train
2634,train
3035,train
9502,train
5932,train
7809,train
2931,train
276,train
10140,train
3309,train
5099,train
8028,train
2718,train
2922,train
3164,train
5406,train
4158,train
5793,train
872,train
4454,train
5482,train
501,train
8508,train
11169,train
2574,train
8734,train
7615,train
7375,train
6121,train
5919,train
10406,train
6488,train
3490,train
5319,train
225,train
8377,train
11266,train
10770,train
644,train
3006,train
10799,train
8068,train
4546,train
8901,train
6141,train
9762,train
3558,train
11219,train
3271,train
2276,train
1122,train
9850,train
7042,train
9518,train
9415,train
5659,train
3693,train
7619,train
8120,train
10706,train
8583,train
5360,train
7562,train
8986,train
5674,train
241,train
177,train
6277,train
2370,train
10897,train
1597,train
6055,train
1003,train
6560,train
10844,train
10496,train
295,train
2706,train
7017,train
3821,train
9772,train
3605,train
4505,train
11319,train
9500,train
9367,train
1469,train
5291,train
9478,train
1414,train
3807,train
8086,train
6384,train
10298,train
4978,train
9640,train
3765,train
2547,train
6877,train
5950,train
7660,train
6031,train
1369,train
4911,train
3556,train
2149,train
193,train
1391,train
8656,train
3245,train
6040,train
9806,train
11112,train
8380,train
42,train
8434,train
3646,train
5529,train
2213,train
9288,train
2458,train
5081,train
9247,train
5318,train
2825,train
2762,train
6028,train
9076,train
2586,train
1527,train
10400,train
3987,train
7423,train
7370,train
4609,train
4472,train
4669,train
2674,train
9738,train
4246,train
7868,train
6802,train
8951,train
3697,train
5170,train
3977,train
5821,train
3009,train
3212,train
716,train
10223,train
2797,train
175,train
10354,train
11220,train
1800,train
7127,train
5814,train
7886,train
265,train
11268,train
7182,train
598,train
5843,train
886,train
10756,train
2444,train
2201,train
4213,train
5983,train
7650,train
10110,train
10793,train
5260,train
5021,train
821,train
3273,train
1238,train
6249,train
2207,train
421,train
3511,train
9705,train
2565,train
2869,train
2340,train
902,train
2471,train
2292,train
5778,train
11165,train
9116,train
7679,train
9667,train
2902,train
4880,train
5669,train
71,train
1825,train
8732,train
4364,train
320,train
2403,train
9370,train
3071,train
8587,train
6259,train
2486,train
3388,train
8731,train
4131,train
1033,train
8772,train
9350,train
10100,train
5713,train
3440,train
9721,train
4173,train
370,train
9657,train
6492,train
4896,train
5643,train
9479,train
9934,train
2834,train
2819,train
927,train
8775,train
9848,train
8824,train
8612,train
10848,train
5878,train
3084,train
2073,train
9458,train
5534,train
8784,train
80,train
2689,train
8569,train
7004,train
5860,train
3756,train
2316,train
659,train
1820,train
2013,train
1213,train
2208,train
3731,train
8266,train
826,train
3208,train
5912,train
7832,train
3327,train
3486,train
8970,train
11040,train
4973,train
8260,train
8737,train
10081,train
7967,train
8039,train
2964,train
23,train
845,train
9962,train
7625,train
10608,train
4859,train
479,train
4368,train
8057,train
7865,train
85,train
8750,train
1225,train
5196,train
7561,train
534,train
79,train
9470,train
6378,train
454,train
4352,train
5956,train
3645,train
5767,train
11173,train
4645,train
6357,train
4142,train
5780,train
9691,train
830,train
9381,train
1507,train
1406,train
4216,train
9648,train
10979,train
929,train
6807,train
2887,train
6388,train
6697,train
7330,train
5204,train
116,train
3220,train
3996,train
1950,train
4694,train
10304,train
2614,train
5654,train
7878,train
5223,train
10856,train
4999,train
2919,train
9221,train
6869,train
8165,train
2107,train
6041,train
7226,train
1713,train
5010,train
10497,train
65,train
4643,train
10214,train
7549,train
3019,train
6116,train
3203,train
4211,train
9452,train
4163,train
11267,train
10980,train
4926,train
10007,train
4515,train
5909,train
10593,train
10093,train
9865,train
11384,train
3103,train
2531,train
344,train
9913,train
10135,train
6863,train
4441,train
8752,train
8289,train
1725,train
5580,train
4803,train
6644,train
6244,train
4821,train
384,train
7047,train
11066,train
3372,train
4425,train
1164,train
199,train
4017,train
2511,train
2769,train
7590,train
537,train
3685,train
9733,train
679,train
8858,train
5304,train
4804,train
4348,train
10217,train
5599,train
4849,train
8703,train
5925,train
7880,train
2396,train
10510,train
9167,train
3867,train
9027,train
1300,train
9585,train
4868,train
9119,train
3539,train
9156,train
2204,train
3754,train
6573,train
7057,train
9768,train
11352,train
5034,train
1261,train
6522,train
3750,train
10028,train
5507,train
5475,train
2049,train
5719,train
6867,train
1175,train
419,train
2198,train
1223,train
6120,train
2066,train
6966,train
7487,train
1753,train
1760,train
4331,train
343,train
6346,train
2764,train
10985,train
9068,train
11130,train
8379,train
6896,train
2839,train
4098,train
5646,train
9741,train
9550,train
8859,train
6196,train
6808,train
3962,train
9903,train
4445,train
3937,train
10890,train
416,train
11102,train
9096,train
2701,train
8688,train
6502,train
2801,train
8566,train
1463,train
9843,train
8571,train
6727,train
8776,train
10426,train
2244,train
6853,train
6088,train
6447,train
10881,train
3022,train
8524,train
7853,train
1354,train
9696,train
10821,train
289,train
6082,train
7612,train
11350,train
22,train
7303,train
9581,train
9778,train
381,train
3778,train
10147,train
1554,train
1819,train
6841,train
7488,train
6350,train
2612,train
3229,train
1551,train
4790,train
1215,train
11331,train
9139,train
4180,train
7796,train
2328,train
9589,train
2269,train
8250,train
7632,train
1751,train
3382,train
2143,train
4877,train
7665,train
8308,train
4607,train
1876,train
3561,train
7986,train
10092,train
1066,train
993,train
909,train
9393,train
2886,train
1098,train
1424,train
5523,train
10967,train
3168,train
8414,train
2638,train
7421,train
10124,train
10973,train
1143,train
10127,train
1792,train
10261,train
8074,train
7058,train
3189,train
11401,train
4434,train
4979,train
5535,train
8150,train
8378,train
3573,train
6782,train
9473,train
11018,train
1292,train
9734,train
8290,train
1441,train
1100,train
5003,train
3850,train
3023,train
9392,train
10272,train
5420,train
11059,train
8810,train
2188,train
355,train
7929,train
5111,train
661,train
5215,train
4230,train
6313,train
1357,train
6493,train
4560,train
5872,train
1621,train
6111,train
9992,train
96,train
2630,train
8592,train
782,train
10929,train
6105,train
7542,train
2609,train
6915,train
11201,train
2086,train
1490,train
1374,train
919,train
2603,train
2974,train
7288,train
4088,train
1371,train
5689,train
9535,train
4714,train
470,train
5043,train
3397,train
4091,train
7212,train
10751,train
755,train
11337,train
5162,train
6268,train
3912,train
11422,train
4342,train
5764,train
134,train
6392,train
8653,train
3451,train
8903,train
10230,train
7594,train
8235,train
9216,train
6692,train
7098,train
11191,train
2152,train
2367,train
1390,train
5771,train
1857,train
6479,train
2977,train
3336,train
1130,train
9530,train
336,train
5327,train
4046,train
2023,train
575,train
10339,train
500,train
4929,train
10674,train
10425,train
1407,train
2810,train
6950,train
2356,train
2255,train
5225,train
3828,train
2044,train
9780,train
2355,train
8853,train
1089,train
8292,train
5248,train
5403,train
3734,train
1311,train
3295,train
244,train
7584,train
9735,train
3320,train
388,train
3492,train
8845,train
899,train
3260,train
4917,train
6881,train
7409,train
9661,train
4545,train
9145,train
376,train
1487,train
189,train
11340,train
953,train
3832,train
10880,train
387,train
3217,train
5362,train
5756,train
6445,train
1392,train
6476,train
9148,train
3932,train
11373,train
9743,train
1565,train
2568,train
10945,train
9797,train
6908,train
5706,train
4900,train
3769,train
1087,train
2289,train
2802,train
606,train
4456,train
8078,train
10644,train
11091,train
3180,train
8361,train
7187,train
1758,train
4554,train
5310,train
5135,train
883,train
743,train
578,train
4193,train
1362,train
3676,train
2374,train
4566,train
6100,train
9366,train
9117,train
7222,train
3958,train
9277,train
844,train
2238,train
9082,train
2828,train
10570,train
8861,train
10340,train
10488,train
8702,train
10786,train
263,train
10150,train
5201,train
1937,train
7217,train
3151,train
49,train
822,train
437,train
1329,train
1498,train
6702,train
6448,train
7573,train
11054,train
8447,train
2763,train
7683,train
7927,train
236,train
6076,train
5591,train
8220,train
9400,train
5695,train
4036,train
992,train
1093,train
11301,train
5389,train
10251,train
8534,train
5357,train
3743,train
4087,train
1666,train
3798,train
2146,train
3955,train
1770,train
4636,train
8485,train
1202,train
11428,train
2375,train
5410,train
668,train
2130,train
10597,train
1735,train
9025,train
8420,train
442,train
9141,train
864,train
8403,train
10437,train
4533,train
5893,train
7576,train
1720,train
4394,train
10984,train
666,train
6325,train
2405,train
7381,train
2622,train
5900,train
3135,train
3048,train
3131,train
1559,train
5693,train
2823,train
729,train
4588,train
9658,train
11239,train
1047,train
89,train
5257,train
9883,train
7501,train
3546,train
2000,train
1286,train
5744,train
230,train
1721,train
9245,train
8807,train
5752,train
8886,train
3620,train
9383,train
3939,train
9445,train
10049,train
10792,train
7885,train
797,train
6712,train
1067,train
2447,train
3337,train
6791,train
7697,train
3038,train
8477,train
3444,train
10885,train
5167,train
1592,train
8242,train
8755,train
10088,train
9561,train
2074,train
9213,train
8159,train
1739,train
3914,train
4020,train
3261,train
7271,train
9272,train
7131,train
4028,train
2488,train
3362,train
1495,train
5614,train
5630,train
5049,train
5091,train
6949,train
10183,train
4950,train
5500,train
5128,train
5694,train
9978,train
11033,train
7898,train
2815,train
5229,train
2523,train
3792,train
4953,train
9169,train
3707,train
4025,train
3461,train
2665,train
4319,train
4501,train
2088,train
5840,train
6955,train
5822,train
4684,train
